"time";"p";"j";"v";"e";"d";"gp";"gc";"sg";"aprov";"class"
"Botafogo";15;5;5;0;0;12;4;8;"100,00";1
"Palmeiras";14;6;4;2;0;16;6;10;"77,78";2
"Fluminense";13;6;4;1;1;12;5;7;"72,22";3
"Flamengo";9;6;3;0;3;12;9;3;"50,00";4
"Athletico-PR";9;5;3;0;2;7;5;2;"60,00";5
"Cruzeiro";9;5;3;0;2;7;5;2;"60,00";5
"Fortaleza";9;5;2;3;0;9;4;5;"60,00";7
"São Paulo";8;5;2;2;1;7;3;4;"53,33";8
"Atlético-MG";7;5;2;1;2;7;5;2;"46,67";9
"Santos";7;5;2;1;2;7;5;2;"46,67";10
"Grêmio";7;5;2;1;2;7;9;-2;"46,67";11
"Internacional";7;5;2;1;2;4;6;-2;"46,67";12
"Bragantino";7;6;1;4;1;9;11;-2;"38,89";13
"Bahia";6;6;2;0;4;8;11;-3;"33,33";14
"Vasco";6;5;1;3;1;6;6;0;"40,00";15
"Corinthians";4;5;1;1;3;5;10;-5;"26,67";16
"Cuiabá";4;6;1;1;4;5;12;-7;"22,22";17
"Goiás";3;5;1;0;4;3;11;-8;"20,00";18
"Coritiba";2;5;0;2;3;3;11;-8;"13,33";19
"América-MG";1;5;0;1;4;5;13;-8;"6,67";20
